"determiner","target_object1","figure","ExpFiller","correctAns1","object1","prime","target2","location3","location5","Prime","display_type","list","correctAns2","location4","size","workerid","object3","condition","target_figure3","instruction1","response","Res_object","condition1","location1","Answer.condition","target_object3","location10","Answer.time_in_minutes","instruction3","location6","object4","location9","location8","target1","size1","determiner1","displayID","response_times","competitor2","location7","location2","competitor1","object2","target_figure1","Intro_object","setting","speaker_cond"
"","2_apples","Susan","Prac","AOI1","apples","BoySomeSusanapples",NA,"2_pears","1_apple","","33-33",NA,"AOI7","3_oranges","",0,"D3_bananas","","","Click on the boy that has some of Susan's apples","['AOI8', 'AOI7', 'AOI10', 'AOI7']","Fruit_residue","some","2_apples","undefined","","girl",6.97601666666667,"","1_pear","D3_oranges","girl","boy",1,"small","some",1,"",NA,"boy","3_bananas",2,"D3_pears","boy","Fruit_Susan_Monday","fruit","list1"
"","2_pears","Susan","Prac","AOI2","pears","BoyAllSusanpears",NA,"3_apples","1_apple","","44-22",NA,"AOI8","2_oranges","",0,"D4_bananas","","","Click on the boy that has all of Susan's pears","['AOI9', 'AOI7', 'AOI8', 'AOI8']","Slience","all","3_bananas","undefined","","girl",6.97601666666667,"","1_banana","D2_oranges","girl","boy",2,"small","all",2,"",NA,"boy","2_pears",1,"D2_pears","boy","Fruit_Susan_Tuesday","fruit","list1"
"","3_erasers","Michael","Prac","AOI3","erasers","GirlAllMichaelerasers",NA,"3_erasers","1_pencil","","33-33",NA,"AOI9","2_rulers","",0,"D3_erasers","","","Click on the girl that has all of Michael's erasers","['AOI9', 'AOI9', 'AOI9', 'AOI9']","Residue_stationary","all","3_scissors","undefined","","girl",6.97601666666667,"","1_ruler","D3_rulers","girl","boy",3,"big","all",3,"",NA,"boy","2_pencils",4,"D3_pencils","girl","Stationary_Michael_Monday","office supplies","list1"
"","2_rulers","Michael","Prac","AOI4","rulers","GirlTwoMichaelrulers",NA,"3_erasers","1_pencil","","44-22",NA,"AOI10","2_rulers","",0,"D4_erasers","","","Click on the girl that has two of Michael's rulers","['AOI8', 'AOI10', 'AOI10', 'AOI10']","Residue_stationary","num","3_pencils","undefined","","girl",6.97601666666667,"","1_eraser","D2_rulers","girl","boy",4,"small","two",4,"",NA,"boy","2_scissors",3,"D4_pencils","girl","Stationary_Michael_Tuesday","office supplies","list1"
"","3_spoons","Amy","Prac","AOI1","spoons","BoyThreeAmyspoons",NA,"3_plates","1_fork","","33-33",NA,"AOI7","2_forks","",0,"D3_spoons","","","Click on the boy that has three of Amy's spoons","['AOI7', 'AOI7', 'AOI7', 'AOI7']","Slience","num","3_spoons","undefined","","girl",6.97601666666667,"","1_knife","D3_knives","girl","boy",1,"big","three",5,"",NA,"boy","2_knives",2,"D3_forks","boy","kitchware_Amy_Tuesday","kitchenwares","list1"
"","3_knives","Amy","Prac","AOI3","knives","GirlSomeAmyknives",NA,"3_knives","1_fork","","44-22",NA,"AOI9","2_plates","",0,"D2_spoons","","","Click on the girl that has some of Amy's knives","['AOI8', 'AOI10', 'AOI9', 'AOI9']","Residue_kitchen","some","2_spoons","undefined","","girl",6.97601666666667,"","1_knife","D4_knives","girl","boy",3,"big","some",6,"",NA,"boy","3_forks",4,"D4_forks","girl","kitchware_Amy_Monday","kitchenwares","list1"
"some","","Michael's","Exp","AOI1","","",7,"3_scissors","1_pencil","BoySomeMichaelPencils","44-22",1,"AOI7","2_rulers","big",0,"","some","boy","","['AOI9', 'AOI8', 'AOI7', 'AOI7']","","","3_pencils","undefined","3_pencils","girl",6.97601666666667,"Click on the boy that has some of Michael's pencils","1_scissor","","girl","boy",1,"","",29,"[2339, 3884, 5746, 6752]",8,"boy","2_erasers",2,"","","","stationeries","list1"
"two","","Susan's","Exp","AOI1","","",7,"3_bananas","1_banana","BoyTwoSusanApples","44-22",1,"AOI7","2_oranges","small",0,"","num","boy","","['AOI8', 'AOI8', 'AOI7', 'AOI7']","","","2_apples","undefined","2_apples","girl",6.97601666666667,"Click on the boy that has two of Susan's apples","1_pear","","girl","boy",1,"","",24,"[2307, 3760, 5737, 6876]",8,"boy","3_pears",2,"","","","fruit","list1"
"two","","Susan's","Exp","AOI4","","",10,"3_oranges","1_banana","GirlTwoSusanBananas","33-33",1,"AOI10","2_bananas","small",0,"","num","girl","","['AOI9', 'AOI9', 'AOI10', 'AOI10']","","","2_pears","undefined","2_bananas","girl",6.97601666666667,"Click on the girl that has two of Susan's bananas","1_pear","","girl","boy",4,"","",5,"[1413, 2685, 3882, 5266]",9,"boy","3_apples",3,"","","","fruit","list1"
"four","","Amy's","Filler","AOI3","","",9,"4_knives","1_spoon","GirlFourAmyKnives","44-22",1,"AOI9","2_forks","big",0,"","four","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI9']","","","1_spoon","undefined","4_knives","girl",6.97601666666667,"Click on the girl that has four of Amy's knives","1_plate","","girl","boy",3,"","",46,"[1733, 2804, 4241, 5032]",10,"boy","3_plates",4,"","","","kitchenwares","list1"
"two","","Amy's","Exp","AOI4","","",10,"3_plates","1_fork","GirlTwoAmyForks","33-33",1,"AOI10","2_forks","small",0,"","num","girl","","['AOI8', 'AOI8', 'AOI10', 'AOI10']","","","2_knives","undefined","2_forks","girl",6.97601666666667,"Click on the girl that has two of Amy's forks","1_knife","","girl","boy",4,"","",13,"[2017, 3000, 4326, 5233]",9,"boy","3_spoons",3,"","","","kitchenwares","list1"
"all","","Michael's","Exp","AOI3","","",9,"2_erasers","1_pencil","GirlAllMichaelErasers","44-22",1,"AOI9","3_rulers","small",0,"","all","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI9']","","","3_pencils","undefined","2_erasers","girl",6.97601666666667,"Click on the girl that has all of Michael's erasers","1_ruler","","girl","boy",3,"","",26,"[1105, 2274, 5672, 6449]",10,"boy","2_scissors",4,"","","","stationeries","list1"
"one","","Amy's","Filler","AOI1","","",7,"3_forks","2_plates","BoyOneAmyPlates","33-33",1,"AOI7","3_spoons","small",0,"","one","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI7']","","","1_plate","undefined","1_plate","girl",6.97601666666667,"Click on the boy that has one of Amy's plates","0","","girl","boy",1,"","",38,"[1560, 2404, 3974, 4936]",8,"boy","3_knives",2,"","","","kitchenwares","list1"
"all","","Michael's","Exp","AOI1","","",7,"3_erasers","1_pencil","BoyAllMichaelScissors","33-33",1,"AOI7","2_rulers","big",0,"","all","boy","","['AOI8', 'AOI8', 'AOI7', 'AOI7']","","","3_scissors","undefined","3_scissors","girl",6.97601666666667,"Click on the boy that has all of Michael's scissors","1_ruler","","girl","boy",1,"","",7,"[2030, 3034, 5352, 6535]",8,"boy","2_pencils",2,"","","","stationeries","list1"
"three","","Michael's","Exp","AOI2","","",8,"2_scissors","1_pencil","BoyThreeMichaelErasers","44-22",1,"AOI8","3_pencils","big",0,"","num","boy","","['AOI10', 'AOI8', 'AOI8', 'AOI8']","","","2_rulers","undefined","3_erasers","girl",6.97601666666667,"Click on the boy that has three of Michael's erasers","1_eraser","","girl","boy",2,"","",27,"[1884, 3752, 5376, 6441]",7,"boy","3_erasers",1,"","","","stationeries","list1"
"some","","Amy's","Exp","AOI3","","",9,"2_knives","1_spoon","GirlSomeAmyKnives","33-33",1,"AOI9","3_forks","small",0,"","some","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI9']","","","2_spoons","undefined","2_knives","girl",6.97601666666667,"Click on the girl that has some of Amy's knives","1_knife","","girl","boy",3,"","",15,"[1718, 2724, 4764, 5810]",10,"boy","3_plates",4,"","","","kitchenwares","list1"
"some","","Amy's","Exp","AOI2","","",8,"2_forks","1_spoon","BoySomeAmySpoons","44-22",1,"AOI8","3_knives","big",0,"","some","boy","","['AOI10', 'AOI7', 'AOI8', 'AOI8']","","","2_plates","undefined","3_spoons","girl",6.97601666666667,"Click on the boy that has some of Amy's spoons","1_knife","","girl","boy",2,"","",33,"[1167, 2671, 4681, 5656]",7,"boy","3_spoons",1,"","","","kitchenwares","list1"
"one","","Susan's","Filler","AOI4","","",10,"3_apples","2_pears","GirlOneSusanPears","33-33",1,"AOI10","1_pear","small",0,"","one","girl","","['AOI9', 'AOI9', 'AOI10', 'AOI10']","","","3_bananas","undefined","1_pear","girl",6.97601666666667,"Click on the girl that has one of Susan's pears","0","","girl","boy",4,"","",42,"[2244, 3265, 5042, 5918]",9,"boy","3_oranges",3,"","","","fruit","list1"
"all","","Michael's","Exp","AOI4","","",10,"2_erasers","1_eraser","GirlAllMichaelRulers","33-33",1,"AOI10","3_rulers","big",0,"","all","girl","","['AOI10', 'AOI10', 'AOI10', 'AOI10']","","","2_scissors","undefined","3_rulers","girl",6.97601666666667,"Click on the girl that has all of Michael's rulers","1_scissor","","girl","boy",4,"","",8,"[1270, 2892, 5455, 6209]",9,"boy","3_pencils",3,"","","","stationeries","list1"
"all","","Amy's","Exp","AOI2","","",8,"2_knives","1_spoon","BoyAllAmyForks","33-33",1,"AOI8","3_plates","big",0,"","all","boy","","['AOI7', 'AOI7', 'AOI8', 'AOI8']","","","2_spoons","undefined","3_forks","girl",6.97601666666667,"Click on the boy that has all of Amy's forks","1_knife","","girl","boy",2,"","",17,"[1765, 2579, 5056, 5791]",7,"boy","3_forks",1,"","","","kitchenwares","list1"
"all","","Susan's","Exp","AOI3","","",9,"3_bananas","1_orange","GirlAllSusanBananas","33-33",1,"AOI9","2_oranges","big",0,"","all","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI9']","","","2_pears","undefined","3_bananas","girl",6.97601666666667,"Click on the girl that has all of Susan's bananas","1_pear","","girl","boy",3,"","",4,"[3055, 4800, 6985, 7707]",10,"boy","3_apples",4,"","","","fruit","list1"
"some","","Susan's","Exp","AOI2","","",8,"2_bananas","1_banana","BoySomeSusanOranges","33-33",1,"AOI8","3_pears","small",0,"","some","boy","","['AOI10', 'AOI8', 'AOI8', 'AOI8']","","","3_apples","undefined","2_oranges","girl",6.97601666666667,"Click on the boy that has some of Susan's oranges","1_orange","","girl","boy",2,"","",2,"[1130, 2691, 4491, 5260]",7,"boy","2_oranges",1,"","","","fruit","list1"
"three","","Susan's","Exp","AOI4","","",10,"2_apples","1_apple","GirlThreeSusanPears","33-33",1,"AOI10","3_pears","big",0,"","num","girl","","['AOI7', 'AOI9', 'AOI10', 'AOI10']","","","2_oranges","undefined","3_pears","girl",6.97601666666667,"Click on the girl that has three of Susan's pears","1_orange","","girl","boy",4,"","",6,"[1396, 3011, 4210, 5029]",9,"boy","3_bananas",3,"","","","fruit","list1"
"some","","Amy's","Exp","AOI4","","",10,"3_spoons","1_fork","GirlSomeAmyPlates","33-33",1,"AOI10","2_plates","small",0,"","some","girl","","['AOI9', 'AOI9', 'AOI10', 'AOI10']","","","2_forks","undefined","2_plates","girl",6.97601666666667,"Click on the girl that has some of Amy's plates","1_plate","","girl","boy",4,"","",16,"[2095, 3179, 5146, 5829]",9,"boy","3_knives",3,"","","","kitchenwares","list1"
"one","","Michael's","Filler","AOI3","","",9,"1_eraser","2_erasers","GirlOneMichaelErasers","33-33",1,"AOI9","3_rulers","small",0,"","one","girl","","['AOI8', 'AOI9', 'AOI9', 'AOI9']","","","3_pencils","undefined","1_eraser","girl",6.97601666666667,"Click on the girl that has one of Michael's erasers","0","","girl","boy",3,"","",41,"[2933, 4284, 5917, 6516]",10,"boy","3_scissors",4,"","","","stationeries","list1"
"four","","Susan's","Filler","AOI3","","",9,"4_oranges","1_banana","GirlFourSusanOranges","44-22",1,"AOI9","1_banana","big",0,"","four","girl","","['AOI7', 'AOI10', 'AOI9', 'AOI9']","","","2_pears","undefined","4_oranges","girl",6.97601666666667,"Click on the girl that has four of Susan's oranges","1_apple","","girl","boy",3,"","",45,"[1543, 3318, 4658, 5417]",10,"boy","3_apples",4,"","","","fruit","list1"
"all","","Michael's","Exp","AOI4","","",10,"3_scissors","1_eraser","GirlAllMichaelPencils","44-22",1,"AOI10","2_pencils","small",0,"","all","girl","","['AOI8', 'AOI10', 'AOI10', 'AOI10']","","","3_erasers","undefined","2_pencils","girl",6.97601666666667,"Click on the girl that has all of Michael's pencils","1_scissor","","girl","boy",4,"","",25,"[1914, 3137, 5112, 5919]",9,"boy","2_rulers",3,"","","","stationeries","list1"
"two","","Amy's","Exp","AOI1","","",7,"3_forks","1_fork","BoyTwoAmySpoons","44-22",1,"AOI7","2_plates","small",0,"","num","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI7']","","","2_spoons","undefined","2_spoons","girl",6.97601666666667,"Click on the boy that has two of Amy's spoons","1_knife","","girl","boy",1,"","",32,"[2929, 3557, 4972, 5688]",8,"boy","3_knives",2,"","","","kitchenwares","list1"
"some","","Michael's","Exp","AOI1","","",7,"2_rulers","1_ruler","BoySomeMichaelErasers","33-33",1,"AOI7","3_scissors","small",0,"","some","boy","","['AOI8', 'AOI8', 'AOI7', 'AOI7']","","","2_erasers","undefined","2_erasers","girl",6.97601666666667,"Click on the boy that has some of Michael's erasers","1_eraser","","girl","boy",1,"","",11,"[1206, 1856, 4195, 4934]",8,"boy","3_pencils",2,"","","","stationeries","list1"
"all","","Amy's","Exp","AOI1","","",7,"3_spoons","1_plate","BoyAllAmyKnives","33-33",1,"AOI7","2_forks","big",0,"","all","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI7']","","","3_knives","undefined","3_knives","girl",6.97601666666667,"Click on the boy that has all of Amy's knives","1_fork","","girl","boy",1,"","",18,"[1791, 4075, 5851, 6472]",8,"boy","2_plates",2,"","","","kitchenwares","list1"
"three","","Amy's","Exp","AOI2","","",8,"2_plates","1_spoon","BoyThreeAmyKnives","33-33",1,"AOI8","3_forks","big",0,"","num","boy","","['AOI10', 'AOI8', 'AOI8', 'AOI8']","","","2_spoons","undefined","3_knives","girl",6.97601666666667,"Click on the boy that has three of Amy's knives","1_plate","","girl","boy",2,"","",14,"[1914, 3359, 4341, 5250]",7,"boy","3_knives",1,"","","","kitchenwares","list1"
"all","","Susan's","Exp","AOI1","","",7,"3_oranges","1_orange","BoyAllSusanApples","44-22",1,"AOI7","2_bananas","small",0,"","all","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI7']","","","2_apples","undefined","2_apples","girl",6.97601666666667,"Click on the boy that has all of Susan's apples","1_pear","","girl","boy",1,"","",22,"[1575, 2751, 4574, 5402]",8,"boy","3_pears",2,"","","","fruit","list1"
"three","","Michael's","Exp","AOI3","","",9,"3_scissors","1_pencil","GirlThreeMichaelScissors","33-33",1,"AOI9","2_pencils","big",0,"","num","girl","","['AOI10', 'AOI10', 'AOI9', 'AOI9']","","","3_rulers","undefined","3_scissors","girl",6.97601666666667,"Click on the girl that has three of Michael's scissors","1_eraser","","girl","boy",3,"","",10,"[1898, 2900, 4344, 5179]",10,"boy","2_erasers",4,"","","","stationeries","list1"
"three","","Amy's","Exp","AOI1","","",7,"3_spoons","1_spoon","BoyThreeAmyPlates","44-22",1,"AOI7","2_knives","big",0,"","num","boy","","['AOI9', 'AOI8', 'AOI7', 'AOI7']","","","3_plates","undefined","3_plates","girl",6.97601666666667,"Click on the boy that has three of Amy's plates","1_plate","","girl","boy",1,"","",31,"[2059, 3713, 4728, 5578]",8,"boy","2_forks",2,"","","","kitchenwares","list1"
