workerid,proliferate.condition,audio,audio_play_unix,competitor1,competitor2,condition,correctAns1,correctAns2,determiner,displayID,display_type,figure,location1,location10,location2,location3,location4,location5,location6,location7,location8,location9,response,response_time,setting,size,slide_number,target1,target2,target_figure,target_num_object,target_object,trial_type,unix_time,webgazer_time,x,y,subject_information.accuracy,subject_information.age,subject_information.camblock,subject_information.comments,subject_information.eyesight,subject_information.eyesight_task,subject_information.gender,subject_information.headphones,subject_information.language,subject_information.previous_accuracy_attempts,subject_information.time_in_minutes,system.Browser,system.OS,system.imageH,system.imageW,system.screenH,system.screenW,system.windowH,system.windowW,time_in_minutes,error
1759,list1,BoySomeSusanApples,,2,,some,AOI1,AOI7,some,1,33-33,Susan,2_apples,girl,3_bananas,2_pears,3_oranges,1_apple,1_pear,boy,boy,girl,AOI7,7297,fruit,small,6,1,,boy,2_apples,apples,Prac,,,,,65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,BoyAllSusanPears,,1,,all,AOI2,AOI8,all,2,44-22,Susan,3_bananas,girl,2_pears,3_apples,2_oranges,1_apple,1_banana,boy,boy,girl,AOI8,7268,fruit,small,7,2,,boy,2_pears,pears,Prac,,,,,65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,GirlAllMichaelErasers,,4,,all,AOI3,AOI9,all,3,33-33,Michael,3_scissors,girl,2_pencils,3_erasers,2_rulers,1_pencil,1_ruler,boy,boy,girl,AOI9,6794,office supplies,big,8,3,,girl,3_erasers,erasers,Prac,,,,,65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,GirlTwoMichaelRulers,,3,,num,AOI4,AOI10,two,4,44-22,Michael,3_pencils,girl,2_scissors,3_erasers,2_rulers,1_pencil,1_eraser,boy,boy,girl,AOI10,6039,office supplies,small,9,4,,girl,2_rulers,rulers,Prac,,,,,65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,BoyThreeAmySpoons,,2,,num,AOI1,AOI7,three,5,33-33,Amy,3_spoons,girl,2_knives,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,AOI7,6285,kitchenwares,big,10,1,,boy,3_spoons,spoons,Prac,,,,,65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,GirlSomeAmyKnives,,4,,some,AOI3,AOI9,some,6,44-22,Amy,2_spoons,girl,3_forks,3_knives,2_plates,1_fork,1_knife,boy,boy,girl,AOI9,6614,kitchenwares,big,11,3,,girl,3_knives,knives,Prac,,,,,65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,BoyAllSusanOranges,1611574894123,1,7,all,AOI2,AOI8,all,21,44-22,Susan's,3_bananas,girl,2_oranges,3_apples,2_pears,1_apple,1_banana,boy,boy,girl,AOI8,6888,fruit,small,13,2,8,boy,2_oranges,oranges,Exp,1611574899943,"[266588.1750000408, 266667.1149999602, 266720.86500003934, 266820.8999999333, 266904.6549999621, 266988.23499993887, 267071.4900000021, 267140.3599999612, 267238.1850000238, 267321.6099999845, 267388.030000031, 267437.750000041, 267521.47000003606, 267589.44000001065, 267656.1900000088, 267715.429999982, 267786.89500002656, 267871.354999952, 267939.01500001084, 268008.6799999699, 268088.6000000173, 268154.3900000397, 268238.28499997035, 268321.5349999955, 268387.6399999717, 268454.9099999713, 268538.3750000037, 268604.94500002824, 268690.7999999821, 268754.42000001203, 268804.00999996345, 268871.754999971, 268940.2199999895, 269004.7949999571, 269071.92499993835, 269140.4849999817, 269204.57499998156, 269288.915000041, 269354.49499997776, 269438.1900000153, 269504.71000000834, 269588.27499998733, 269654.824999976, 269721.66000003926, 269787.3350000009, 269854.7849999741, 269921.6599999927, 269987.7049999777, 270037.41999994963, 270088.8150000246, 270171.4549999451, 270238.3250000421, 270304.82499999925, 270388.26499995776, 270471.35500004515, 270538.2400000235, 270604.85000000335, 270671.6950000264, 270737.9499999806, 270805.3899999941, 270856.4300000435, 270906.4050000161, 270971.70500003267, 271038.3450000081, 271121.59500003327, 271187.75499996264, 271271.5849999804, 271338.32999994047, 271404.34000000823, 271471.52499994263, 271538.2250000257, 271621.3999999454, 271688.8999999501, 271771.56499994453, 271837.9300000379, 271906.1999999685, 271971.5599999763, 272039.37000001315, 272104.32499996386, 272171.8099999707, 272268.4250000166, 272337.1399999596, 272403.99499994237, 272470.1799999457, 272530.2549999906, 272598.20000000764, 272653.2400000142, 272713.86999997776, 272773.7699999707, 272836.5749999648, 272894.20999994036, 272937.6550000161, 273004.7499999637, 273071.61999994423, 273138.0150000332, 273199.33500001207, 273271.7199999606, 273338.45999999903]","[763.6946034177367, 692.4963846978267, 512.6240644668865, 503.017493329247, 521.0809400851216, 518.9372839092968, 448.13352550872975, 448.25999686804033, 370.12501619937126, 420.571405946025, 532.3631832245949, 613.3032580473104, 659.2976287975413, 687.3474671208888, 655.3790575122505, 697.3482038388186, 718.7840775688346, 787.4390638012716, 788.0672759288751, 724.771810212664, 634.7767927459246, 612.2495764340015, 586.980419575147, 582.428196439157, 515.4187636018513, 462.2068191089039, 453.0936648598203, 414.0021094207117, 411.7279187764561, 412.51698916357367, 404.0203466865116, 454.26316696066647, 370.55077054316695, 270.51115539143103, 375.66033489978065, 488.333767829701, 485.2379541708467, 525.8668394747875, 561.9880454133214, 612.8124805114633, 600.0885643034708, 561.0152453697517, 540.1579177488541, 471.33110612480147, 418.7408535757704, 402.6347132502845, 342.4026194566611, 367.1761577008183, 437.7615419926639, 526.6138468853641, 542.659305396723, 550.5053618223128, 493.2100135493826, 486.09670434348936, 444.5570341287413, 455.03235643410505, 498.913655888536, 452.61014440931024, 379.8751160293959, 354.8728444142673, 276.3419183344363, 314.23410600690295, 324.6916929415034, 321.48583057181406, 269.05394476599764, 211.0093271710607, 189.99306645797776, 67.40754494082105, 152.10203679426098, 198.5019853066511, 263.92683701152066, 334.46529248509705, 468.8044178428818, 614.3408377620083, 721.7895957324363, 836.533173561849, 889.7340744700815, 959.7869885142944, 923.985594028013, 869.8103319247931, 734.7184038950368, 666.8646382351856, 492.30939390901585, 400.0324860951199, 360.183951020819, 375.6555916838089, 284.5389536675489, 289.814052594135, 234.1028770872022, 110.0821628002842, 55.57731587142653, 34.16747377465468, 34.42903929456627, 61.52039393543213, 180.2545506342613, 295.6840529867867, 338.0160478016389, 340.7458359434667]","[179.4652749966404, 219.6091693669408, 513.0709408081626, 546.7498060899075, 569.4433735027097, 596.5389755974768, 492.3607822706036, 431.4482451429569, 291.6487518897935, 221.38341821446005, 191.7114607999356, 167.06500472978246, 185.2226521914293, 144.46274963003643, 141.0657261470478, 188.10750592381808, 178.50179344766352, 166.98054585742955, 117.97144425471006, 431.8084149819602, 751.1473990050767, 812.0419504840836, 765.4018205324578, 671.8577451633139, 611.1631405258282, 564.1802549551287, 510.8212334255036, 741.3262680421482, 686.8181366054798, 636.5958531527384, 576.0863095289233, 508.3035084498926, 780.7559721414304, 942.6095569150682, 926.3524035991334, 809.1026581278771, 685.1510225542521, 429.42225555052346, 297.7909511975325, 90.8743343219408, 82.68007409896937, 34.239053083046194, -4.0643929301126285, -12.355548124530472, 5.20052331053823, 18.18898279616911, 26.624975616552533, 39.67807817509141, 12.493008289020135, -41.73166744070789, -55.50512285383602, -8.701242117387096, 7.975615490878184, 33.682363051073935, 64.44904942690567, 101.53823304405064, 119.33168037938574, 185.806794897372, 229.3517073282427, 206.6167723498332, 273.65810467556594, 237.6896859021019, 228.42507320995583, 202.8048392932649, 286.6792682599194, 315.8379610859932, 383.25213595068305, 515.4292115777902, 477.2712941464427, 411.86598849426946, 395.3226334731039, 373.2478973736649, 366.9043950620714, 403.0153728907229, 428.8318195560033, 409.49460679311846, 414.82231954220816, 365.21194114803205, 274.9429689138776, 273.54884757753285, 227.4958732138712, 114.9765020671007, 122.12959809781977, 153.82934986842105, 122.7567909582392, 78.16738124152813, 158.67378406188033, 163.2564841593039, 303.06761973711104, 479.3677103285808, 603.869679241389, 582.4347279108639, 576.852235807445, 649.0844839392703, 636.466728391217, 672.5259057217452, 511.6429701670013, 428.5202092705355]",65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,GirlThreeSusanPears,1611574901978,3,9,num,AOI4,AOI10,three,6,33-33,Susan's,2_oranges,girl,3_bananas,2_apples,3_pears,1_apple,1_orange,boy,boy,girl,AOI10,6990,fruit,big,14,4,10,girl,3_pears,pears,Exp,1611574907942,"[273404.6200000448, 274467.69499999937, 274555.0199999707, 274634.5399999991, 274705.7349999668, 274784.3499999726, 274854.95499998797, 274938.4849999333, 275004.58499998786, 275088.33499997854, 275154.7599999467, 275221.79999994114, 275288.2400000235, 275354.9349999521, 275421.4249999495, 275488.5650000069, 275571.9800000079, 275654.83000001404, 275722.31999994256, 275773.734999937, 275823.6099999631, 275888.3050000295, 275971.9000000041, 276038.43499999493, 276105.2899999777, 276171.69999994803, 276237.9499999806, 276304.7850000439, 276371.9450000208, 276438.31999995746, 276505.189999938, 276571.8900000211, 276638.28499999363, 276721.6550000012, 276788.3750000037, 276872.0850000391, 276939.00999997277, 277004.8699999461, 277071.77000003867, 277138.4299999336, 277205.9250000166, 277254.22999996226, 277321.1949999677, 277388.44999996945, 277454.7849999508, 277538.365000044, 277604.88500003703, 277688.59499995597, 277754.82000003103, 277821.7799999984, 277888.43499997165, 277954.76500003133, 278021.76499995403, 278088.6500000488, 278154.6549999621, 278221.8499999726, 278288.5000000242, 278354.8449999653, 278422.1050000051, 278488.5650000069, 278554.86999999266, 278622.0400000457, 278687.95499997213, 278737.8599999938, 278821.74000004306, 278888.2000000449, 278971.8799999682, 279038.32499997225, 279104.74500001874, 279188.41499998234, 279256.9300000323, 279321.3449999457, 279387.89999997243, 279454.83499998227, 279521.9550000038, 279588.13499996904, 279654.6849999577, 279704.769999953, 279771.8899999745, 279838.7550000334, 279887.98999995925, 279954.79500002693, 280021.48500003386, 280092.1650000382, 280154.77000002284, 280218.49500003736, 280271.3249999797, 280321.5799999889, 280379.4249999337, 280438.58499999624, 280504.9299999373, 280571.3850000175, 280638.43499997165, 280703.52999994066, 280769.8050000472, 280838.5550000239, 280921.17500002496, 280988.0899999989, 281039.7749999538, 281104.91500003263, 281171.8300000066, 281239.41999999806, 281304.87500003073, 281371.6550000245]","[318.9787941049938, 415.33528403215365, 488.6587894413178, 604.5217668539872, 694.1742836353379, 745.172383557162, 793.6657838690938, 799.968895277276, 820.1633217794479, 787.2110214680152, 742.1871596432347, 699.6491932859541, 637.4419547378737, 654.277605514666, 598.6934244403676, 485.1507642172565, 353.6520128157475, 288.50529071017235, 255.9356870275396, 249.3882635061891, 256.9172909406986, 331.5561888889962, 304.14798832364295, 306.5197771509838, 325.79262891139564, 337.3943086897971, 263.1418917925368, 258.2086420384255, 177.53070591199528, 114.20003838007054, 270.36444823791703, 373.51161441540336, 510.0943583952418, 586.9505414214678, 675.3436434104774, 655.2782548177888, 734.5522939895518, 692.8996459323329, 689.8453841872358, 726.79424426203, 808.5191326648695, 829.6983583977939, 900.8174125447816, 889.2601186736824, 947.3259445924324, 959.6926305182354, 934.3280206512512, 797.7125760641381, 722.436393260314, 686.0426110472531, 655.9538414787238, 555.470746873885, 555.0404506050534, 470.1499087359248, 291.22902138054957, 197.99884138437264, 106.76643486427491, 122.8027494406842, 243.86380777801455, 322.9873935462949, 337.8463441683634, 361.4391437869757, 336.78700203835433, 351.4712294676519, 359.1356361485168, 393.1972380567114, 372.8332258143143, 395.37680368753985, 376.2900294259613, 436.86005011529863, 422.6271535662524, 395.6072295996896, 406.5367008027754, 402.1239577451786, 436.8437169561517, 484.7906948011666, 502.5873175323572, 445.8928983962723, 531.2446199679471, 579.6652835870304, 613.6158814841184, 652.7648670844583, 673.0705512625528, 764.4912499948387, 773.0170620899447, 851.0095795495091, 886.4185904184577, 882.4689209118764, 918.9069865799504, 893.2759613622833, 892.2622895232828, 830.1817398888512, 868.6628056262099, 943.496587470423, 942.9650774203816, 957.6524724777136, 988.7896187485512, 1075.0591952037912, 1146.19844678636, 1088.9734389809564, 1111.418729229593, 1064.190909123936, 1012.1656558049228, 1048.3145237149026]","[368.1925271438675, 317.7172832254647, 269.41008438642433, 300.19418753712574, 331.3883456573626, 302.292344834465, 321.6225267670959, 339.77680171712933, 348.5312622751441, 332.62271622831355, 411.73655224534656, 417.70101689590626, 301.7063974269779, 272.6150526212005, 293.84723370021436, 583.5142062809228, 602.9768396441223, 622.4710897596256, 554.0843436502927, 559.1169106523422, 550.0038268026303, 454.21093504236075, 359.47255775019465, 679.1400747144849, 824.1773019979038, 753.5360314642411, 654.948999335576, 560.5548046646277, 765.3224781819266, 854.5450487567731, 733.6523528493574, 592.7530151431383, 475.9890681655042, 438.6163298887924, 373.6933503669176, 282.3937590430609, 136.57871797438037, 97.19768622906572, 35.40682128762569, 18.37210112022801, -34.051409464203886, -69.58761854806588, -88.63892017265218, -114.60887728304938, -130.99083575972426, -121.72865948546108, -99.46247268493973, -64.05356246969421, 30.055959280360355, 45.62575406379004, 74.78919156910558, 95.9221180118489, 83.11706650709779, 209.79765567208256, 572.4333890446901, 720.351745478632, 702.2749872671444, 664.6241834088153, 549.0361315197016, 453.8355629605838, 390.1010436865381, 321.9752165063073, 238.8025517879282, 159.4150435384455, 110.63498327335216, 85.96317533385047, 48.849712463311945, 37.127955705541005, 45.76542462739942, 42.036972759823385, 44.94442939082499, 119.36779514926624, 146.87442342322288, 193.4051110289224, 250.6118862278704, 294.9284622227907, 341.8518577967838, 372.4455437254765, 418.2759012864491, 470.142256217324, 495.1182900895175, 499.97511882773574, 527.1029175717325, 557.1118133033706, 503.19473004308026, 465.2979521369329, 457.8369719463658, 480.2853150048796, 439.94023515631307, 410.826117959597, 399.1355896717317, 372.3931636998677, 377.9993647395949, 416.439436840495, 404.2943288501625, 455.17307830202833, 502.7819981561467, 601.9484069886314, 684.8329018189794, 671.5384335059946, 712.9241976982471, 676.2324893146421, 654.0641156323484, 606.1003351834314]",65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,BoyOneMichaelRulers,1611574909999,1,7,one,AOI2,AOI8,one,40,33-33,Michael's,3_erasers,girl,1_ruler,3_pencils,3_scissors,2_scissors,0,boy,boy,girl,AOI8,6334,stationeries,small,15,2,8,boy,1_ruler,rulers,Filler,1611574915293,"[282475.04000004847, 282569.9650000315, 282623.20999999065, 282686.7299999576, 282748.88500000816, 282822.01999996323, 282888.70999997016, 282954.67000000644, 283021.8800000148, 283089.3899999792, 283137.89999997243, 283187.975000008, 283238.1049999967, 283288.58499997295, 283337.9399999976, 283404.9299999606, 283471.819999977, 283538.515000022, 283587.4649999896, 283655.12000001036, 283721.6999999946, 283788.440000033, 283854.96000002604, 283921.4599999832, 283988.464999944, 284055.534999934, 284138.15499993507, 284222.219999996, 284288.515000022, 284371.9399999827, 284439.3899999559, 284507.42499995977, 284557.61000001803, 284638.6149999453, 284704.96500004083, 284771.8800000148, 284837.9150000401, 284922.0450000139, 284988.4150000289, 285054.9999999348, 285105.6899999967, 285188.87499999255, 285256.7000000272, 285321.9500000123, 285388.63499998115, 285471.8250000151, 285539.12500001024, 285621.99499993585, 285690.16500003636, 285754.88999998197, 285821.3899999391, 285888.38999997824, 285971.87500004657, 286038.3800000418, 286104.97500002384, 286171.7700000154, 286238.4900000179, 286305.0049999729, 286357.49500000384, 286421.8549999641, 286488.66999999154, 286555.08499999996, 286621.9900000142, 286688.50499996915, 286772.3550000228, 286839.8299999535, 286904.8800000455, 286971.744999988, 287038.50999998394, 287105.2099999506, 287171.89999995753, 287238.095000037, 287330.57500002906, 287395.8949999651, 287461.83000004385, 287522.9350000154, 287585.4700000491, 287639.6449999884, 287704.63499997277, 287760.2199999383, 287811.9899999583, 287875.4900000058, 287941.23999995645, 288007.8800000483, 288072.359999991, 288138.0900000222, 288204.88500001375, 288273.86499999557, 288340.9550000215, 288422.0950000454, 288489.5349999424, 288555.04000000656, 288621.8700000318, 288688.37999994867]","[908.9737672857168, 870.0847007693804, 774.3304389012244, 740.5644913432111, 745.8789088600763, 748.3535382504182, 709.589188832677, 681.0989259189803, 626.8303585973971, 575.3293210664633, 533.7506146650084, 542.3394491203202, 585.0917963697752, 580.528424886032, 585.592243399823, 589.9959908277967, 589.8359205073983, 667.1788372679401, 733.823592779422, 750.1464092209133, 829.9545350083785, 931.7638813862912, 977.8878263333723, 947.0990249317592, 866.4638454296845, 871.0285312565729, 887.8172172640914, 920.6016202113163, 915.308267636712, 960.768390507399, 971.70999639114, 1004.0292695089596, 969.5542520689788, 909.686386818187, 877.8055080719249, 894.719091929117, 785.0925458910338, 825.32475576158, 899.7658100793417, 953.8790689184108, 979.3488674536272, 974.3762164157092, 1017.3499537246478, 977.0697711355284, 988.217553790912, 986.9690381989212, 963.5961186408936, 920.2571227238448, 799.2032827311187, 677.7582733028597, 624.1613002710166, 526.7927223663763, 491.4188438294352, 500.5554212974952, 458.3164736235879, 478.76763185742703, 534.5185829191246, 527.9306357600196, 424.76298924855473, 598.9334880221421, 543.9513701201629, 556.3924058604993, 474.0038659059411, 484.729872640813, 505.5377717249376, 542.3220377558222, 546.0745578701165, 481.7525296328452, 509.2043073619774, 460.3015822229646, 436.95001704155385, 481.361433744219, 407.71173470785976, 364.6478154898896, 337.7720479807185, 261.8035674796637, 305.9864464604859, 304.59289202770475, 336.24742075988235, 263.2890407378677, 228.59582983013985, 207.3778073585294, 279.03549840722263, 198.55389120152688, 159.922417019438, 86.92857528961463, 49.72437065822808, 21.3172166203549, -135.30546988302336, -245.74469617200384, -266.88202771150446, -20.791512728542784, -76.33198066479781, -10.694081086271751]","[523.3014482403088, 490.179368758283, 436.3675783669775, 431.5880593403719, 444.57953150353705, 455.68456434963093, 424.6351799886811, 431.4221589248834, 416.8329743149396, 411.7557211630301, 336.0736385665786, 304.1923968231429, 305.1714493211584, 291.11041172288617, 321.46698352513505, 347.1166069002145, 376.856270191846, 400.8303137151377, 421.1522357611103, 374.3729406936869, 379.4176589883562, 363.2021297355048, 339.2714275161824, 328.67705602509113, 336.84184551583326, 361.29105153590353, 382.31791854378406, 387.1205705012664, 399.75832852222743, 368.7757138686704, 357.3498605507087, 342.73878895778364, 335.0243598443142, 362.9561420664505, 365.50213973165006, 377.5849190850374, 375.22716071022785, 431.3272541217385, 536.4148399352612, 651.3392265731406, 738.2040090258531, 798.8965838674027, 818.4548100060894, 866.3867820270291, 871.3898701095898, 761.8302027210173, 700.2813859583165, 600.9116446184385, 513.101194218354, 460.6860179664883, 415.5714466175264, 347.3223410630359, 323.82774656009303, 272.5432284006747, 225.4289585617026, 164.61536095160517, 153.31525772125062, 115.12939577428774, 144.65530251652885, 499.76764791721223, 725.6301646969387, 793.2738106125115, 732.277574927014, 688.7413285345382, 646.6776812752005, 544.776078199338, 457.8708409699599, 366.9144892236333, 334.19312611060946, 283.7291241902908, 264.38568448863595, 264.8487887633623, 427.4970242848722, 459.2633746049456, 477.64343268541035, 482.0898413437516, 544.4084461996487, 625.6587864457159, 669.7593441560936, 558.1861915014185, 429.4112750932245, 461.92806946711545, 472.1263277903969, 461.5427111609609, 506.04540287362624, 531.0201031529011, 543.016029154028, 552.5058007360308, 557.1519697389466, 518.9062444322077, 334.32320565704657, 344.8936277229213, 305.42198631425424, 277.4630810346969]",65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
1759,list1,GirlSomeAmyForks,1611574917358,4,10,some,AOI3,AOI9,some,34,44-22,Amy's,2_spoons,girl,3_plates,3_forks,2_knives,1_fork,1_plate,boy,boy,girl,AOI9,7380,kitchenwares,big,16,3,9,girl,3_forks,forks,Exp,1611574923677,"[288755.1199999871, 289812.7600000007, 289883.42500000726, 289926.3900000369, 289963.51999999024, 290004.66500001494, 290062.53999995533, 290134.2299999669, 290195.65000000875, 290254.95500001125, 290338.66000000853, 290404.92000000086, 290472.3600000143, 290539.7649999941, 290630.0849999534, 290696.74000004306, 290768.8349999953, 290829.8149999464, 290885.0650000386, 290937.900000019, 291005.2099999739, 291071.9500000123, 291138.46499996725, 291205.03499999177, 291272.6450000191, 291354.99000002164, 291422.34499996994, 291489.5849999739, 291572.2049999749, 291639.33999999426, 291721.87500004657, 291789.209999959, 291872.3000000464, 291938.6849999428, 292008.7549999589, 292088.89000001363, 292154.7749999445, 292222.1249999711, 292288.95499999635, 292354.99000002164, 292425.120000029, 292489.14499999955, 292538.2700000191, 292605.0149999792, 292672.0000000205, 292741.0300000338, 292822.03499996103, 292888.874999946, 292954.87000001594, 293038.7199999532, 293122.00999993365, 293188.7100000167, 293255.1649999805, 293322.01999996323, 293388.58999998774, 293472.0850000158, 293539.1750000417, 293605.03500001505, 293672.14499996044, 293738.5500000091, 293821.7149999691, 293888.6700000148, 293972.070000018, 294039.60000001825, 294105.0700000487, 294172.21999994945, 294238.7549999403, 294308.10000002384, 294388.6449999409, 294472.1350000473, 294538.7600000249, 294605.2899999777, 294655.62500001397, 294723.78500003833, 294788.36999996565, 294855.29500001576, 294921.7949999729, 294988.78000001423, 295072.1200000262, 295139.82000004034, 295222.1800000407, 295288.39999996126, 295372.3549999995, 295438.8650000328, 295522.0800000243, 295587.8950000042, 295655.2499999525, 295721.98499995284, 295788.2400000235, 295855.00500001945, 295946.8249999918, 296005.73999993503, 296069.7950000176, 296140.73999994434, 296210.80000000075, 296279.59499997087, 296345.9349999903, 296419.4000000134, 296488.31499996595, 296551.8849999644, 296613.5249999352, 296654.67499999795, 296722.10499993525, 296788.3150000125, 296854.9799999455, 296905.8949999744, 296972.70499996375, 297037.6699999906, 297105.06500001065]","[84.96133011381892, 336.4216027265333, 538.5964744504328, 612.1211339625628, 622.1023129775706, 662.5754266578647, 702.8001843239181, 733.5054998843685, 780.7820709748121, 751.4997225887207, 630.5295250633817, 514.6482381321715, 520.1832751350121, 597.9099751101949, 632.6645901526223, 670.873769469763, 667.8771205107232, 629.6874690921646, 592.2769142051532, 590.4334545301, 566.4279229200022, 530.4085652499465, 533.2504073744428, 587.9844555650312, 556.8116542916146, 496.57855248278867, 524.2240996543885, 480.452153898994, 412.2089048361301, 391.0719171759232, 341.0591226920933, 378.0137673148878, 366.38991463836646, 300.64902382510996, 314.9933163473584, 291.2316624091737, 336.0029242175103, 323.46431489906547, 324.22208144875714, 319.60101481191987, 292.96690172549853, 371.3663557449832, 438.35521271264247, 326.9028369151279, 347.96652709672867, 337.74083617217826, 295.7495662706893, 256.9963462927547, 210.6618656960269, 183.51263789676185, 288.911443403858, 370.5113096874232, 441.0155212431443, 452.01120555449825, 585.472364185302, 648.6283587031533, 721.5356365182088, 789.1935130099306, 780.3887682898687, 715.1071719926354, 713.239445631047, 734.3453012916909, 771.7557062801588, 786.6302154330258, 754.5768037230193, 780.1294179529685, 776.7812574600867, 760.9632686273317, 775.4294244029912, 721.3741698440771, 759.4581546204913, 781.1456348813168, 755.0042410549979, 751.267538815167, 788.3524289305158, 808.1646156414741, 796.7304240575679, 796.4698765742914, 759.4668824292121, 781.3689725149105, 792.5498101566029, 840.2867895025943, 870.2651970062863, 810.5922217154005, 787.4405905816328, 854.1483873543256, 881.4652363842184, 895.8628733073832, 1018.3102383790616, 1023.1774738235456, 942.4497091957362, 931.742540816034, 978.9465570504436, 898.2631661403989, 924.3560195544908, 1031.7976976158182, 1012.148216625363, 1053.0685239459592, 1062.3680148850908, 1113.6653757880115, 1202.3624832999665, 1123.8611788817716, 1102.8295094853795, 1066.5556897425863, 1026.8288143700072, 977.8715328089456, 970.9855009847624, 1016.8514720981364, 1077.3957093601762]","[336.5350034498778, 379.873872576142, 333.29786134147116, 292.31214360454163, 239.2648837468995, 243.74618009587908, 258.77732280807913, 251.46521383626285, 356.79014237514957, 425.3496597913379, 454.3987486153382, 522.613859035764, 640.9093927211896, 675.0318306369935, 622.9419121838846, 641.0817387772314, 604.7747743950749, 509.99758597102146, 489.546958826186, 503.5116430312949, 500.9832763648867, 453.2359168289153, 539.0154158898251, 589.8936903968711, 802.916966499165, 1080.2460957480455, 1176.4291910204145, 1202.5938759882144, 1121.5619886616505, 1040.1054680399518, 900.9547153190238, 788.520187888848, 716.0478078256847, 588.1752001955817, 512.0907591495934, 423.44845005736545, 362.194673995508, 282.31456544689576, 253.77795300146832, 234.80304861344064, 421.6077309201886, 582.0300097431377, 703.4990658024832, 983.9247213586434, 1074.426988261076, 1093.7326368134352, 1090.876123812504, 1042.5855784710825, 941.0968916256138, 865.7312714176816, 705.2739490153824, 532.1507882210847, 377.4635578472496, 287.07563782742494, 193.01286927563083, 187.39961782800208, 126.59166173843938, 122.20327421686105, 69.99315942809596, 34.81089467169357, -5.78174954508296, 13.127897725638867, 3.9520107137976304, 13.999667237608737, 87.27475360519085, 86.09861315736404, 145.30384138944248, 184.46842718492593, 184.22271112699624, 196.40540288209505, 311.3901944422, 456.06658306093664, 584.0986008362947, 683.6164155036155, 758.4722408483549, 835.9396867765479, 854.1519727327678, 901.8410704701448, 912.834042970758, 866.639177941212, 863.6846528435101, 809.6012971861161, 696.9975384581201, 677.3936059587398, 623.3535689051134, 603.6626629580254, 497.5270128420358, 393.6642026656796, 395.893832814243, 349.0507378109434, 269.2116942351304, 285.3547556601153, 226.2875136156769, 242.32773157369576, 104.37455838772874, 2.384543332192223, 12.637071055508288, 7.503033389724187, -58.124729624987445, 29.61568609156157, -73.20886319612531, -149.171645591242, -264.8061683072634, -269.519748031011, -286.51250873736296, -307.94589194356496, -297.7747998834516, -207.41352396925515, 22.274950036381995]",65,41,Yes,"None, straight forward study no surprises. ",none,neither,Male,no,english,[],11.703133333333334,Chrome,Windows,473,467,1003,1504,900,1503,11.703183333333332,
