"fairprice","problems","gender","age","workerid","language","comments","asses","education","enjoyment","speaker_cond"
"Yes","No","Female",44,0,"English","","Yes",3,1,"list1"
"1.70","No","Female",28,1,"English","It took me a moment to catch on to the ""some of"" ""all of"" thing, sorry!","Yes",2,2,"list1"
"1.70","No","Male",36,2,"English","Fun and interesting task!","No",4,2,"list1"
"1.70","No","Female",27,3,"English","Very nice","Yes",2,2,"list1"
"2","nothing","Female",28,4,"English","good","Yes",3,2,"list1"
"2","no","Male",41,5,"eng","","Yes",2,1,"list1"
"1.70","","Female",33,6,"English","","Yes",3,2,"list1"
"1.7","no","Male",33,7,"english","little repetitive.","Yes",3,2,"list1"
"1.70","no","Male",45,8,"English","none","Yes",3,2,"list1"
"yes","no","Female",22,9,"English","I made a little song in my head to go through the clicking and reading rhythmically and it will be stuck in my head for the rest of the day haha.","Yes",1,2,"list1"
"3","ALL GOOD","Female",62,10,"English","","Yes",3,2,"list1"
"1.70","no","Female",56,11,"English","Loved it!","Yes",3,2,"list1"
"1.70","none","Male",29,12,"English","","Yes",2,1,"list1"
"2","no","Female",60,13,"English","","Yes",3,1,"list1"
"2","","Female",31,14,"english","As I was doing the hit I noticed that occasionally there would be key words that I was missing such as the boy has 2.... and I would keep clicking the boy with 3 things and then I noticed oh yeah some of the descriptions say how many items. A few times I kept clicking on a boy and or girl when the description said opposite. It was a little mind numbing but it was fun. I felt a little stupid when I missed those cues. ","Yes",3,2,"list1"
"2.00","No","Male",27,15,"English","I would like if the interface had some feedback about where I clicked so I could be sure my click was registered correctly.","Yes",4,2,"list1"
"1.70","I did not experience any","Male",37,16,"English","","Yes",3,2,"list1"
"1.70","when I click it seemed delayed a couple of times","Male",40,17,"english","","Yes",2,1,"list1"
"2.00","no","Female",45,18,"English","","Yes",2,2,"list1"
"1.70","No problems","Female",35,19,"English","","Yes",2,2,"list1"
"1.70","none","Female",28,20,"english","nice experiment","Yes",4,2,"list1"
"3","","Male",30,21,"ENGLISH","","No",3,1,"list1"
"1.70 is great","no","Male",38,22,"English","Hope to see more of these. ","Yes",3,2,"list1"
"4.00","No","Male",29,23,"English","","Yes",2,1,"list1"
"","","",NA,24,"","","",-1,-1,"list1"
"2.00","n.a","Male",27,25,"english","","Yes",-1,1,"list1"
"2","Non","Male",29,26,"english","Initially, I didn't get the items being pushed to the middle part. I thought the tasks originally involved picking something from the middle and assuming from there. That's my fault for not paying attention or grasping it fast enough. Towards the end of the study, I was able to put things together. There were limited distractions, though sometimes focus was not ideal.","Confused",3,1,"list1"
"2.00","no","Male",48,27,"English","","Yes",2,1,"list1"
"3","no","Female",30,28,"english","nice","Yes",3,1,"list1"
"2","no","Female",40,29,"english","This was a great survey, keep up the good work!!!","Yes",3,2,"list1"
"1.70","no","Female",62,30,"English","that was fun!!","Yes",1,2,"list1"
"1.70","No","Male",30,31,"English","It was fun! Thanks!","Yes",3,2,"list1"
"2.00","no","Male",27,32,"english","","Yes",4,2,"list1"
"1.25","No.","Male",37,33,"American English","","Yes",1,1,"list1"
"2.00","No.","Female",31,34,"English","I have no comments. ","Yes",3,1,"list1"
"2","no","Female",34,35,"english","","Yes",2,2,"list1"
"1.70","no","Male",32,36,"English","","Yes",3,1,"list1"
"yes","none","Female",69,37,"English","","Yes",2,2,"list1"
"1.75","","Female",38,38,"english","","Yes",3,1,"list1"
"2","none","Male",30,39,"english","none","Yes",4,2,"list1"
"2","","Female",26,40,"English","","Yes",-1,1,"list2"
"2.50","none","Female",30,41,"english","","Yes",3,1,"list2"
"2","no","Female",23,42,"English","","Yes",1,2,"list2"
"2","no","Male",32,43,"English","","Yes",1,1,"list2"
"Definitely","Some occasional laggy clicks.","Male",29,44,"English","","Yes",3,2,"list2"
"1.70","no","Male",23,45,"ENGLISH","none","No",3,1,"list2"
"1.5","No","Female",23,46,"English","","Yes",3,1,"list2"
"1.50","none","Female",33,47,"English","","Confused",2,1,"list2"
"1.70","I've no clue!","Female",34,48,"english","","Confused",2,1,"list2"
"1.70","No, I did not encounter any problems or bugs.","Male",43,49,"English","I enjoyed the HIT! It was interesting to make adjustments as needed when new information was provided.","Yes",3,2,"list2"
"1.7","No","Female",36,50,"English","No comment.","Yes",3,1,"list2"
"1.80","No","Male",31,51,"English","It was filled with fun to complete this HIT","Yes",2,2,"list2"
"1.70","none","Female",69,52,"english","none. thanks!","Yes",2,2,"list2"
"yes","no there was none","Female",25,53,"ENGLISH","Was a  bit  confused but later got hold of the hit","Yes",-1,1,"list2"
"1.75","no","Male",37,54,"english","","Yes",3,2,"list2"
"1.7","none","Female",25,55,"English","nope, thanks","Yes",3,2,"list2"
"","","",NA,56,"","","Yes",-1,-1,"list2"
"1.70","No","Male",38,57,"English","","Yes",-1,2,"list2"
"2","no","Male",32,58,"English","","Yes",2,2,"list2"
"2","nothing","Female",28,59,"English","nice task","No",3,2,"list2"
"yes","no","Female",52,60,"English","none","Yes",4,1,"list2"
"1.70","There were not any problems.","Male",29,61,"English","None","Yes",1,2,"list2"
"1.70","No","Male",31,62,"English","","Yes",3,1,"list2"
"1.70","no","Male",60,63,"English","","Yes",2,2,"list2"
"yes","no","Female",47,64,"english","","Yes",3,2,"list2"
"1.70","none","Male",46,65,"English","none","Yes",1,2,"list2"
"1.7","no","Male",32,66,"English","nice","Yes",3,1,"list2"
"1.70","Nope!","Male",26,67,"English","","Yes",2,1,"list2"
"1.70","I had no problems.","Female",39,68,"English","Thanks!","Yes",2,1,"list2"
"1.70","No","Female",64,69,"English","","Yes",3,2,"list2"
"1.70","i clicked the wrong person at the end once","Male",32,70,"English","","Yes",2,1,"list2"
"good","no","Male",29,71,"english","thanks","Yes",4,2,"list2"
"1.70","","Male",28,72,"english","","Yes",3,2,"list2"
"3","no","Male",27,73,"English ","nice","",3,2,"list2"
"Yes, it was fair.","There were no problems at all.","Female",38,74,"English","Easy and well paid, thank you!","Yes",1,2,"list2"
"1.70","nothing","Male",24,75,"English","nothing","Yes",3,1,"list2"
"2.00","no","Female",32,76,"english","","Yes",4,2,"list2"
"Yes.","No.","Male",22,77,"English","","Yes",1,2,"list2"
